Date,Close
1985-01-01,
1985-01-02,
1985-01-03,
1985-01-04,
1985-01-07,
1985-01-08,
1985-01-09,
1985-01-10,
1985-01-11,
1985-01-14,
1985-01-15,
1985-01-16,
1985-01-17,
1985-01-18,
1985-01-21,
1985-01-22,
1985-01-23,
1985-01-24,
1985-01-25,
1985-01-28,
1985-01-29,
1985-01-30,
1985-01-31,251.58026470768735
1985-02-01,256.102138404702
1985-02-04,251.40589397912092
1985-02-05,252.89442832418416
1985-02-06,256.27589772307334
1985-02-07,251.75727949876972
1985-02-08,254.6210319822799
1985-02-11,253.38658186265215
1985-02-12,254.86243689017516
1985-02-13,249.90093980026728
1985-02-14,252.23743623328556
1985-02-15,254.66947010796653
1985-02-18,258.24540808823144
1985-02-19,256.22724465666886
1985-02-20,256.82997795893306
1985-02-21,258.4801684063116
1985-02-22,255.49526797293007
1985-02-25,258.131270903556
1985-02-26,256.1273521286017
1985-02-27,254.46354026315547
1985-02-28,257.4640208938347
1985-03-01,259.77662353593746
1985-03-04,259.60917412739786
1985-03-05,259.2020100945215
1985-03-06,264.51303699878423
1985-03-07,260.72348742462754
1985-03-08,262.2221500352288
1985-03-11,265.16956364309425
1985-03-12,258.1255764146838
1985-03-13,258.9766509938367
1985-03-14,265.1156979422497
1985-03-15,260.1187233712076
1985-03-18,262.17459040696724
1985-03-19,264.6799762891624
1985-03-20,264.63030929714085
1985-03-21,266.7748269773747
1985-03-22,266.55690152355317
1985-03-25,265.9856730405171
1985-03-26,262.421747380364
1985-03-27,266.06021389748787
1985-03-28,265.3699785432642
1985-03-29,262.21827282229737
1985-04-01,268.355425547784
1985-04-02,267.3793674346288
1985-04-03,266.0778345567266
1985-04-04,265.8021395456883
1985-04-05,264.06087633303696
1985-04-08,267.36129103259765
1985-04-09,268.2555665033149
1985-04-10,265.7940683249098
1985-04-11,270.38357529372513
1985-04-12,265.858496790074
1985-04-15,263.97212918713427
1985-04-16,271.09011408310727
1985-04-17,268.3063379642243
1985-04-18,269.22472262023274
1985-04-19,268.0104965829199
1985-04-22,266.6698907609658
1985-04-23,273.1791866805849
